p0,p1,p2,p3,p4,p5,objective,elapsed_sec,scale
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,32,20,0.0001419999999999,1140.0507640838623,60
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,20,80,0.0001825,1147.939526796341,60
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,16,4,0.0002385,1154.5830698013306,60
 , , ,4,64,4,0.0001965,1161.2301471233368,60
 , , ,64,20,4,0.000179,1169.0501217842102,60
 , , ,50,100,256,0.0001284999999999,1175.000067472458,60
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,20,0.0001325,1181.942064523697,60
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,128,32,0.000228,1189.6515777111051,60
 , , ,128,32,50,0.000128,1196.125321149826,60
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,128,64,0.0001945,1203.622615814209,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,20,128,0.0001475,1210.2312428951263,60
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,80,100,0.000186,1216.7030775547028,60
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,100,16,0.000102,1226.82155251503,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,128,8,0.000176,1233.3840198516846,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,64,100,0.000202,1241.022635221481,60
 , , ,8,50,8,0.0001475,1247.4210133552551,60
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,20,0.0001575,1254.2024002075195,60
 , , ,16,128,20,0.000128,1260.4492433071136,60
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,32,0.0001245,1267.142033815384,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,32,16,0.0001664999999999,1274.006688117981,60
 , , ,8,16,100,0.0001245,1281.4050896167755,60
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,50,100,0.0001815,1290.6105616092682,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,100,0.000139,1298.2618896961212,60
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,50,32,32,0.0001844999999999,1307.5579807758331,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,100,80,0.0001565,1315.814091205597,60
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,64,80,0.0001585,1322.1634695529938,60
 , , ,16,2048,8,0.0001375,1328.4013571739197,60
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,128,128,0.0001395,1335.314209938049,60
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,8,0.000143,1341.987693309784,60
 , , ,8,16,32,0.000141,1349.069310426712,60
