p0,p1,p2,p3,p4,p5,objective,elapsed_sec,scale
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,256,0.479737,1282.3064124584198,1000
 , , ,100,8,128,0.5698535,1292.3141894340515,1000
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,4,0.7950245,1301.1636531352997,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,80,64,0.4517135,1309.461944580078,1000
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,50,8,0.6020865,1319.2822172641754,1000
 , , ,16,16,80,0.588379,1327.6615149974823,1000
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,80,64,0.917688,1337.620239496231,1000
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,80,16,0.603149,1348.3850843906405,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,8,4,0.6455915,1359.411717414856,1000
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,50,16,0.6344645,1369.8503465652466,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,128,0.483982,1379.0507509708405,1000
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,50,0.582225,1388.1334145069122,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,64,20,0.5749075,1397.4858701229095,1000
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,8,4,0.881615,1408.6543757915497,1000
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,80,64,0.5769934999999999,1417.1608831882477,1000
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,64,0.4877655,1425.6029567718506,1000
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,32,32,0.4748655,1436.4194927215576,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,64,16,4,0.6986140000000001,1445.337912082672,1000
 , , ,80,16,256,0.642297,1453.925662279129,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,64,64,0.502236,1462.396017074585,1000
 , , ,100,50,50,0.5794165,1470.4964334964752,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,64,20,0.4896935,1478.3276207447052,1000
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,128,50,0.8179514999999999,1488.3648760318756,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,50,64,8,0.5388189999999999,1496.7588818073273,1000
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,64,80,0.1708175,1506.478432416916,1000
