p0,p1,p2,p3,p4,p5,objective,elapsed_sec,scale
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,256,0.004089,1002.3153426647186,200
 , , ,100,8,128,0.004104,1010.3430376052856,200
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,4,0.0050415,1016.9441084861757,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,80,64,0.003711,1024.5458314418793,200
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,50,8,0.005182,1032.5790615081787,200
 , , ,16,16,80,0.004403,1038.9435110092163,200
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,80,64,0.005858,1046.720311164856,200
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,80,16,0.0041225,1054.7845840454102,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,8,4,0.0048555,1063.2500278949738,200
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,50,16,0.0042474999999999,1071.659675836563,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,128,0.0037489999999999,1078.912300825119,200
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,50,0.00375,1086.2101430892944,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,64,20,0.0040895,1093.479974269867,200
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,8,4,0.0066755,1102.1962490081787,200
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,80,64,0.0038965,1110.0075979232788,200
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,64,0.0040444999999999,1117.4639959335327,200
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,32,32,0.0037819999999999,1127.5244779586792,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,64,16,4,0.0053675,1134.2678065299988,200
 , , ,80,16,256,0.0044085,1140.8443987369535,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,64,64,0.0035605,1147.9122664928436,200
 , , ,100,50,50,0.0040125,1155.6785144805908,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,64,20,0.004514,1163.54847407341,200
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,128,50,0.0062135,1171.965002298355,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,50,64,8,0.0041135,1180.1654992103577,200
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,64,80,0.0014854999999999,1189.22118806839,200
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,100,256,0.00514,1197.263079404831,200
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,20,20,0.004266,1205.4768164157867,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,32,20,0.003882,1212.6872689723969,200
 , , ,128,32,128,0.004482,1219.2229433059692,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,4,0.006061,1227.4314727783203,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,20,0.0038485,1235.3565139770508,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,32,20,0.0036195,1242.3510105609894,200
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,20,80,0.0066265,1250.6810882091522,200
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,16,4,0.006227,1259.1030504703522,200
 , , ,4,64,4,0.0056105,1266.067953824997,200
 , , ,64,20,4,0.0051544999999999,1272.5443830490112,200
 , , ,50,100,256,0.0044954999999999,1278.8469076156616,200
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,20,0.003968,1286.6098744869232,200
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,128,32,0.006385,1295.2801542282104,200
 , , ,128,32,50,0.0037185,1301.994740009308,200
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,128,64,0.004543,1310.6880145072937,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,20,128,0.004052,1317.8733932971954,200
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,80,100,0.004678,1326.1956560611725,200
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,100,16,0.0022849999999999,1334.6163535118103,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,128,8,0.0050125,1342.107445716858,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,64,100,0.003973,1350.3128089904783,200
 , , ,8,50,8,0.004091,1357.6164207458496,200
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,20,0.003872,1365.1095311641693,200
 , , ,16,128,20,0.0041385,1372.0038630962372,200
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,32,0.0038225,1380.1160051822662,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,32,16,0.0040105,1387.1910002231598,200
 , , ,8,16,100,0.004272,1393.832824468613,200
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,50,100,0.004373,1401.719277858734,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,100,0.00397,1409.9915432929993,200
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,50,32,32,0.003747,1418.305687665939,200
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,100,80,0.004136,1425.885037899017,200
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,64,80,0.007277,1433.81516456604,200
 , , ,16,2048,8,0.0040485,1440.2041127681732,200
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,128,128,0.0039465,1448.1523361206057,200
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,8,0.004411,1455.741804599762,200
 , , ,8,16,32,0.0035434999999999,1462.2358224391935,200
